officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Moti Marad S.O,360421,S.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,02824-284740,NA,Gondal H.O,NA,NA,NA,NA
Moti Parabadi B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Moti Vavdi B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,-83.3731484,42.4123357,42.4123357,-83.3731484
Moviya S.O,360330,S.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,02825-281420,NA,Gondal H.O,NA,NA,NA,NA
Nagalkhada B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,70.4492062,21.74186645,21.74186645,70.4492062
Nagvadar B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Nana Mandva B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Nani Parabadi B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Nani Vavdi B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,-83.3731484,42.4123357,42.4123357,-83.3731484
Nava Matravad B.O,360450,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Bhayavadar S.O,Gondal H.O,70.247798425,21.853354275,21.853354275,70.247798425
Navagadh S.O,360375,S.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,02823-227843,NA,Gondal H.O,NA,NA,NA,NA
Navagam B.O,360320,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Gomta S.O,Gondal H.O,NA,NA,NA,NA
Nilakha B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Nonghanchora B.O,360070,B.O,Delivery,Gondal,Rajkot,Gujarat,Kotda,Rajkot,GUJARAT,NA,Mengni S.O,Gondal H.O,9.9806653,53.6630618,53.6630618,9.9806653
Ori B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Sayla,Surendra Nagar,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Padavla B.O,360480,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Paneli S.O,Gondal H.O,NA,NA,NA,NA
Panch Pipla B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Panchavda B.O,360040,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Atkot S.O,Gondal H.O,71.1485723,22.0103535,22.0103535,71.1485723
Paneli S.O,360480,S.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,02826-276743,NA,Gondal H.O,NA,NA,NA,NA
Paradva B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Patanvav S.O,360430,S.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,02824-287180,NA,Gondal H.O,NA,NA,NA,NA
Patidad B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Pedhla B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Pipaliya B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,70.4492062,21.74186645,21.74186645,70.4492062
Pipaliya(Sadak) B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Pipalva B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Pipardi B.O,360405,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Jamkandorna S.O,Gondal H.O,70.4972555,21.8926077,21.8926077,70.4972555
Pipardi B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Pithadia B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Pransla B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Premgadh B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Rabarika B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Rabarika B.O,360470,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Kolki S.O (Rajkot),Gondal H.O,NA,NA,NA,NA
Raidi B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,70.4492062,21.74186645,21.74186645,70.4492062
Rajapara B.O,360030,B.O,Delivery,Gondal,Rajkot,Gujarat,Kotda,Rajkot,GUJARAT,NA,Kotda Sangani S.O,Gondal H.O,70.9342075,22.1224148,22.1224148,70.9342075
Ramod B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Ravna B.O,364490,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Vasavad S.O,Gondal H.O,NA,NA,NA,NA
Reshamdi Galol B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Rib B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Ribda B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Roghel B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,70.4492062,21.74186645,21.74186645,70.4492062
Rupavati B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Sajadiyali B.O,360405,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Jamkandorna S.O,Gondal H.O,70.4972555,21.8926077,21.8926077,70.4972555
Sajadiyali B.O,360450,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Bhayavadar S.O,Gondal H.O,70.247798425,21.853354275,21.853354275,70.247798425
Samadhiyala B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Samadhiyala B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Sanali B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Sanathali B.O,364490,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vasavad S.O,Gondal H.O,NA,NA,NA,NA
Sandhvaya B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Sanganva B.O,360035,B.O,Delivery,Gondal,Rajkot,Gujarat,Lodhika,Rajkot,GUJARAT,NA,Lodhika S.O,Gondal H.O,70.6320389,22.13380935,22.13380935,70.6320389
Sardharpur B.O,360375,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Navagadh S.O,Gondal H.O,NA,NA,NA,NA
Satapar B.O,360330,B.O,Delivery,Gondal,Rajkot,Gujarat,Kotda,Rajkot,GUJARAT,NA,Moviya S.O,Gondal H.O,NA,NA,NA,NA
Satodad B.O,360405,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Jamkandorna S.O,Gondal H.O,70.4972555,21.8926077,21.8926077,70.4972555
Semla B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Shishak B.O,360330,B.O,Delivery,Gondal,Rajkot,Gujarat,Kotda,Rajkot,GUJARAT,NA,Moviya S.O,Gondal H.O,NA,NA,NA,NA
Shivrajgadh B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Shivrajpur B.O,360050,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Jasdan S.O,Gondal H.O,71.23261896666666,22.063050016666665,22.063050016666665,71.23261896666666
Shrinathgadh B.O,360330,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Moviya S.O,Gondal H.O,NA,NA,NA,NA
Sodvadar B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,-83.3731484,42.4123357,42.4123357,-83.3731484
Sultanpur S.O (Rajkot),364470,S.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,02825-273420,NA,Gondal H.O,NA,NA,NA,NA
Supedi S.O,360440,S.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,02824-285779,NA,Gondal H.O,-83.3731484,42.4123357,42.4123357,-83.3731484
Talagana B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Tanasva B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Thana Galol B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Timbdi Arab B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Timbdi Jam B.O,360450,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Bhayavadar S.O,Gondal H.O,70.247798425,21.853354275,21.853354275,70.247798425
Torania B.O,360360,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Jetalsar Jn. S.O,Gondal H.O,70.5964797,21.7338537,21.7338537,70.5964797
Trakuda B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Umrali B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Upleta Lati Plot S.O,360490,S.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,02826-225733,NA,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Upleta ND T.S.O,360490,S.O,Non-Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,02826-220633,NA,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Vachhra B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Vadala B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Vadali B.O,360450,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Bhayavadar S.O,Gondal H.O,70.247798425,21.853354275,21.853354275,70.247798425
Vadasada B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Manavadar,Junagadh,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Vadasada B.O,364485,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Amarnagar S.O (Rajkot),Gondal H.O,NA,NA,NA,NA
Vadod B.O,360050,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Jasdan S.O,Gondal H.O,71.23261896666666,22.063050016666665,22.063050016666665,71.23261896666666
Vadodar B.O,360410,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Dhoraji S.O,Gondal H.O,70.4492062,21.74186645,21.74186645,70.4492062
Valasan B.O,360480,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Paneli S.O,Gondal H.O,NA,NA,NA,NA
Vangadhra B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Varjang Jalia B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Vasavad S.O,364490,S.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,02825-274420,NA,Gondal H.O,NA,NA,NA,NA
Vavdi B.O,360405,B.O,Delivery,Gondal,Rajkot,Gujarat,Jamkandorna,Rajkot,GUJARAT,NA,Jamkandorna S.O,Gondal H.O,70.4972555,21.8926077,21.8926077,70.4972555
Vavdi Station B.O,364485,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Amarnagar S.O (Rajkot),Gondal H.O,NA,NA,NA,NA
Vekri B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Vinchhiya S.O,360055,S.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,02821-276420,NA,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Vinzivad B.O,364470,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Sultanpur S.O (Rajkot),Gondal H.O,NA,NA,NA,NA
Virpur S.O,360380,S.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,02823-281420,NA,Gondal H.O,70.69632355,21.8459477,21.8459477,70.69632355
Vora Kotda B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Zanzmer B.O,360440,B.O,Delivery,Gondal,Rajkot,Gujarat,Dhoraji,Rajkot,GUJARAT,NA,Supedi S.O,Gondal H.O,-83.3731484,42.4123357,42.4123357,-83.3731484
Zundala B.O,364490,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vasavad S.O,Gondal H.O,NA,NA,NA,NA
Aerodromme S.O,361003,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodiya,Jamnagar,GUJARAT,0288-2710667,NA,Jamnagar H.O,43.9896147,43.7597619,43.7597619,43.9896147
Aliabada S.O,361110,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,0288-282220,NA,Jamnagar H.O,70.2158776,22.4505714,22.4505714,70.2158776
Ambala B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Ambardi B.O,360515,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Verad S.O,Jamnagar H.O,69.9150849,21.9509284,21.9509284,69.9150849
Ambavadi B.O,361305,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khambhalia S.O,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Amra B.O,361006,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khodiyar Colony S.O,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Amran S.O,363655,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,02893-287220,NA,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Anandpur B.O,361162,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Nikava S.O,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
Arablush B.O,361280,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Kanalush S.O,Jamnagar H.O,69.81930615,22.34465885,22.34465885,69.81930615
Arambhada B.O,361345,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Mithapur S.O (Jamnagar),Jamnagar H.O,69.03100532857142,22.406823057142855,22.406823057142855,69.03100532857142
Arikhana B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Arla B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Ashiavadar B.O,361325,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Raval S.O,Jamnagar H.O,69.49223486666666,21.923730366666664,21.923730366666664,69.49223486666666
Asota Mota B.O,361305,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Khambhalia S.O,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Bada B.O,361110,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Aliabada S.O,Jamnagar H.O,70.2158776,22.4505714,22.4505714,70.2158776
Badanpar B.O,361250,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Jodia S.O,Jamnagar H.O,70.32101513333333,22.682387833333333,22.682387833333333,70.32101513333333
Badanpar B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Baid B.O,361006,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khodiyar Colony S.O,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Bajana B.O,361305,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Khambhalia S.O,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Balachadi S.O,361230,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,02893-286220,NA,Jamnagar H.O,70.20856684285715,22.5960112,22.5960112,70.20856684285715
Balambha S.O,361240,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodiya,Jamnagar,GUJARAT,02893-285230,NA,Jamnagar H.O,NA,NA,NA,NA
Balambhadi B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Balva B.O,360530,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Jamjodhpur S.O,Jamnagar H.O,70.03180655,21.8998151,21.8998151,70.03180655
Bamangam B.O,360540,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kharedi S.O,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Banga B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Bankodi B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Banugar Moti B.O,361120,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Dhuvav S.O,Jamnagar H.O,70.19161163333334,22.491004066666665,22.491004066666665,70.19161163333334
Baradia B.O,361335,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Dwarka S.O,Jamnagar H.O,68.96816307894737,22.244392505263157,22.244392505263157,68.96816307894737
Bavakhakharia B.O,361162,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Nikava S.O,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
Bedeshwar S.O,361002,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2554410,NA,Jamnagar H.O,70.06304673333334,22.471477633333333,22.471477633333333,70.06304673333334
Bedi S.O,361009,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,0288-2754927,NA,Jamnagar H.O,118.1314198,24.52311955,24.52311955,118.1314198
